route,query,page title,group,role,state,environment,fixture,screenshot path,source revision,device/simulator,WeChat/base-library/tool version,capture time,verification status,missing reason
pages/home/index,,护理,基础与其他现有页面,guest or authenticated user,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__home__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:34:57.718Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/product/index,id=synthetic-acceptance-serum,商品详情,商城用户端,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__product__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:36:52.931Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/checkout/index,product=synthetic-acceptance-serum&sku=595c21be-b7e6-4bc9-bcf6-afad3987b68f&quantity=1,,商城订单用户端,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__checkout__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:37:03.281Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/orders/index,,,商城订单用户端,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__orders__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:37:13.634Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/order-detail/index,id=a8d33f87-4afe-45d0-8467-30fc88e5b16f,,商城订单用户端,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__order-detail__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:37:23.865Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/settings/index,,设置与许可,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__settings__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:37:34.181Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/invite/index,,邀请与分享,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__invite__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:37:44.748Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/legal/index,type=privacy,,基础与其他现有页面,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__legal__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:37:54.948Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/privacy-rights/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__privacy-rights__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:38:05.348Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/support/index,,,客服用户端,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__support__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:38:15.635Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__management__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:38:26.065Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-catalog/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__management-catalog__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:38:36.447Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-product/index,id=1cb90c81-3f46-430d-ab17-823c1d621000,,商品管理/管理入口,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__management-product__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:38:47.139Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-orders/index,,,订单管理,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__management-orders__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:38:57.738Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-order-detail/index,id=a8d33f87-4afe-45d0-8467-30fc88e5b16f,,订单管理,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__management-order-detail__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:39:08.287Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-support/index,,,客服管理端,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__management-support__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:39:18.620Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-support-chat/index,id=7737a4cf-067f-4c46-b661-e0b371501094,,客服管理端,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__management-support-chat__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:39:29.603Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
