route,page title,group,role,state,environment,fixture,screenshot path,source revision,device/simulator,WeChat/base-library/tool version,capture time,verification status,missing reason
pages/home/index,护理,基础与其他现有页面,guest or authenticated user,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__home__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:02:34.329Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/settings/index,设置与许可,基础与其他现有页面,authenticated user or member,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__settings__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:04:27.497Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/invite/index,邀请与分享,基础与其他现有页面,authenticated user or member,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__invite__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:04:35.197Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/legal/index,,基础与其他现有页面,guest or authenticated user,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__legal__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:04:42.665Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/privacy-rights/index,,基础与其他现有页面,authenticated user or member,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__privacy-rights__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:04:50.030Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/support/index,,客服用户端,authenticated user or member,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__support__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:04:57.564Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/management/index,,商品管理/管理入口,capability administrator,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__management__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:05:05.030Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/management-catalog/index,,商品管理/管理入口,capability administrator,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__management-catalog__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:05:12.464Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/management-product/index,,商品管理/管理入口,capability administrator,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__management-product__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:05:19.965Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/management-orders/index,,订单管理,capability administrator,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__management-orders__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:05:27.597Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/management-order-detail/index,,订单管理,capability administrator,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__management-order-detail__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:05:34.999Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/management-support/index,,客服管理端,capability administrator,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__management-support__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:05:42.348Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/management-support-chat/index,,客服管理端,capability administrator,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__management-support-chat__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:05:49.898Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
