route,view_state,role,data_state,evidence,status,remaining_gate
pages/support/index,support thread,authenticated member,synthetic support conversation,screenshots/raw/pages__support__index.png,CURRENT_DEFAULT_CAPTURED,long copy physical keyboard weak network and session change device states
pages/management/index,mobile management center,capability operator,synthetic capability counts,screenshots/raw/pages__management__index.png,CURRENT_DEFAULT_CAPTURED,empty capability failure counts and compact viewport
pages/management-catalog/index,catalog management,product operator,synthetic product inventory,screenshots/raw/pages__management-catalog__index.png,CURRENT_DEFAULT_CAPTURED,search filters batch boundary and all inventory states
pages/management-product/index,product editor,product operator,synthetic product revision,screenshots/raw/pages__management-product__index.png,CURRENT_DEFAULT_CAPTURED,real media multi-SKU qualification and save errors
pages/management-orders/index,management order list,order operator,synthetic pending order,screenshots/raw/pages__management-orders__index.png,CURRENT_DEFAULT_CAPTURED,filters tasks failure pagination and future fulfillment
pages/management-order-detail/index,management order detail,order operator,synthetic redacted pending order,screenshots/raw/pages__management-order-detail__index.png,CURRENT_DEFAULT_CAPTURED,permission context support link fulfillment and refund states
pages/management-support/index,support queue,support operator,synthetic queue,screenshots/raw/pages__management-support__index.png,CURRENT_DEFAULT_CAPTURED,empty pagination claim conflict sorting and compact viewport
pages/management-support-chat/index,operator chat,support operator,synthetic claimed conversation,screenshots/raw/pages__management-support-chat__index.png,CURRENT_DEFAULT_CAPTURED,unclaimed claim conflict sensitive context multiline physical keyboard and revoke
pages/support/index,failed-send-retry,authenticated member,loopback fault then authoritative local ACK,keyframes/01-message-retry/,VERIFIED_LOCAL_SIMULATOR,device weak-network replay
pages/support/index,reading-history-new-message,authenticated member,18 history messages plus real operator reply,keyframes/02-reading-history/,VERIFIED_LOCAL_SIMULATOR,device long-history pagination and font scaling
pages/support/index,multiline-composer,authenticated member,three-line native input,keyframes/05-keyboard-multiline/,VERIFIED_GEOMETRY_LOCAL_SIMULATOR,physical keyboard iOS and Android
pages/checkout/index,quote-return-expiry-requote,authenticated member,real quote and address plus synthetic clock,keyframes/03-checkout-return-expiry/,VERIFIED_LOCAL_SIMULATOR,real server clock price-change weak-network and device
pages/settings/index,address-navigation-return,authenticated member,one selected synthetic address,keyframes/03-checkout-return-expiry/03-address-page.png,VERIFIED_LOCAL_SIMULATOR,address editor conflict paste and physical keyboard
pages/management-product/index,dirty-draft-remote-conflict,product operator,real server revision change,keyframes/04-product-draft-return/,VERIFIED_LOCAL_SIMULATOR,save failure media cancel inventory device
pages/management-product/index,permission-revoked,revoked product operator,three capabilities revoked,keyframes/06-permission-revocation/,VERIFIED_LOCAL_SIMULATOR,real account staging policy and device
pages/home/index,care-non-milestone,authenticated member,deterministic state reducer,tests/unit/care-home-state.test.ts,VERIFIED_AUTOMATED_NOT_NATIVE,all care facts in native state matrix
pages/home/index,care-due-overdue-paused-completed-ended,authenticated member,deterministic state reducer,tests/unit/care-home-state.test.ts,VERIFIED_AUTOMATED_NOT_NATIVE,timezone and device-state captures
pages/management-support-chat/index,operator-poll-and-draft-ownership,support operator,Page harness lifecycle scenarios,tests/unit/miniprogram-u0-page-lifecycle.test.ts,VERIFIED_AUTOMATED_NOT_NATIVE,operator-side native long history revoke and physical keyboard
